date,campaign_id,platform,ad_type,campaign_objective,target_region,target_age_group,target_gender,impressions,clicks,ctr_percent,spend_usd,cpc_usd,cpm_usd,conversions,conversion_rate_percent,roi,likes,shares,comments,engagement_rate_percent,Year,Month,Day,Quarter,Day_of_Week,Total_Engagement,Cost_Per_Conversion,High_ROI,High_Engagement
2024-04-27,CMP1486,Google Ads,Image,Lead Generation,South America,35-44,Male,22128,828,3.743,1540.08,1.86,69.6,24,2.96,0.74,245,56,10,1.405,2024,4,27,2,Saturday,311,64.17,0,0
2023-03-07,CMP1065,LinkedIn,Banner,App Installs,Oceania,55+,Other,6406,190,2.973,76.0,0.4,11.86,12,6.66,1.14,87,18,6,1.733,2023,3,7,1,Tuesday,111,6.333333333333333,0,0
2023-01-13,CMP1016,Google Ads,Image,Engagement,Africa,35-44,Female,12609,169,1.343,407.29,2.41,32.3,6,4.09,2.66,329,24,28,3.022,2023,1,13,1,Friday,381,67.88166666666667,1,0
2023-01-18,CMP1021,Google Ads,Video,App Installs,Europe,35-44,Other,4797,80,1.672,176.8,2.21,36.86,0,0.81,1.01,230,32,14,5.754,2023,1,18,1,Wednesday,276,0.0,0,1
2023-11-03,CMP1306,Instagram,Story,Lead Generation,North America,45-54,Female,20354,413,2.031,446.04,1.08,21.91,28,7.01,2.85,807,176,106,5.35,2023,11,3,4,Friday,1089,15.930000000000001,1,1
2024-11-16,CMP1688,Facebook,Story,App Installs,South America,45-54,Other,13974,591,4.23,1430.22,2.42,102.35,28,4.78,2.45,834,196,64,7.829,2024,11,16,4,Saturday,1094,51.07928571428572,1,1
2023-07-12,CMP1192,Google Ads,Carousel,Brand Awareness,Asia,55+,Other,2513,92,3.684,35.88,0.39,14.28,5,5.59,0.58,123,29,16,6.685,2023,7,12,3,Wednesday,168,7.176,0,1
2023-11-29,CMP1335,Twitter/X,Image,Sales Conversion,Africa,13-17,Female,12425,267,2.151,587.4,2.2,47.28,9,3.39,-0.16,347,42,44,3.485,2023,11,29,4,Wednesday,433,65.26666666666667,0,0
2024-06-20,CMP1538,LinkedIn,Story,App Installs,Asia,55+,Female,8037,44,0.558,81.4,1.85,10.13,1,3.15,2.58,378,64,43,6.035,2024,6,20,2,Thursday,485,81.4,1,1
2023-06-10,CMP1160,Facebook,Video,Brand Awareness,Africa,55+,Male,6256,189,3.035,402.57,2.13,64.35,11,5.88,0.03,257,18,15,4.636,2023,6,10,2,Saturday,290,36.597272727272724,0,1
2024-12-13,CMP1712,Facebook,Banner,Brand Awareness,Asia,13-17,Male,4063,91,2.261,120.12,1.32,29.56,4,5.41,2.01,129,7,14,3.692,2024,12,13,4,Friday,150,30.03,1,0
2024-01-23,CMP1388,LinkedIn,Banner,Lead Generation,South America,25-34,Male,18800,830,4.42,1236.7,1.49,65.78,7,0.88,2.55,1082,154,47,6.824,2024,1,23,1,Tuesday,1283,176.67142857142858,1,1
2023-10-30,CMP1302,Twitter/X,Search,Brand Awareness,Africa,18-24,Other,9505,408,4.297,338.64,0.83,35.63,25,6.35,2.49,421,92,49,5.913,2023,10,30,4,Monday,562,13.5456,1,1
2024-01-11,CMP1375,YouTube,Story,Engagement,Asia,13-17,Male,6911,145,2.11,166.75,1.15,24.13,10,6.9,0.62,232,24,12,3.878,2024,1,11,1,Thursday,268,16.675,0,0
2023-07-14,CMP1198,YouTube,Search,Brand Awareness,Europe,45-54,Female,16648,401,2.41,713.78,1.78,42.87,7,1.88,1.38,582,124,82,4.733,2023,7,14,3,Friday,788,101.96857142857142,1,1
2023-10-03,CMP1276,YouTube,Carousel,Lead Generation,South America,25-34,Other,10663,416,3.909,811.2,1.95,76.08,6,1.55,1.22,375,41,18,4.07,2023,10,3,4,Tuesday,434,135.20000000000002,0,0
2023-03-16,CMP1077,TikTok,Video,Engagement,North America,13-17,Female,2904,135,4.671,245.7,1.82,84.61,1,1.21,2.12,136,24,7,5.751,2023,3,16,1,Thursday,167,245.7,1,1
2023-03-15,CMP1076,TikTok,Search,Lead Generation,North America,13-17,Female,4532,214,4.735,391.62,1.83,86.41,15,7.14,0.75,131,22,13,3.663,2023,3,15,1,Wednesday,166,26.108,0,0
2023-04-01,CMP1092,Instagram,Story,Lead Generation,Asia,55+,Male,6829,235,3.455,352.5,1.5,51.62,11,4.96,0.74,187,37,18,3.544,2023,4,1,2,Saturday,242,32.04545454545455,0,0
2024-07-20,CMP1569,TikTok,Video,App Installs,South America,55+,Female,22939,863,3.763,776.7,0.9,33.86,29,3.42,1.0,444,75,37,2.424,2024,7,20,3,Saturday,556,26.782758620689656,0,0
2023-08-26,CMP1238,YouTube,Story,Engagement,Oceania,18-24,Male,6550,96,1.476,90.24,0.94,13.78,5,5.59,1.35,371,34,27,6.595,2023,8,26,3,Saturday,432,18.048,1,1
2024-12-19,CMP1721,Instagram,Video,Sales Conversion,South America,18-24,Other,11829,434,3.677,750.82,1.73,63.47,30,6.99,2.12,403,89,49,4.574,2024,12,19,4,Thursday,541,25.027333333333335,1,1
2023-03-16,CMP1075,TikTok,Search,Sales Conversion,Asia,13-17,Other,3072,64,2.102,131.2,2.05,42.71,4,6.79,2.7,108,20,4,4.297,2023,3,16,1,Thursday,132,32.8,1,0
2024-06-29,CMP1545,TikTok,Search,Engagement,Oceania,25-34,Other,21756,772,3.55,880.08,1.14,40.45,32,4.24,0.43,678,63,48,3.627,2024,6,29,2,Saturday,789,27.5025,0,0
2023-09-22,CMP1268,Instagram,Video,Engagement,Africa,45-54,Other,5713,208,3.658,399.36,1.92,69.9,11,5.4,0.04,143,21,9,3.028,2023,9,22,3,Friday,173,36.305454545454545,0,0
2024-06-20,CMP1539,Twitter/X,Video,Brand Awareness,Oceania,35-44,Male,11422,349,3.063,177.99,0.51,15.58,21,6.18,0.49,660,111,54,7.223,2024,6,20,2,Thursday,825,8.475714285714286,0,1
2024-10-09,CMP1650,Google Ads,Carousel,Lead Generation,South America,25-34,Male,4082,153,3.75,221.85,1.45,54.35,5,3.46,1.98,120,8,3,3.209,2024,10,9,4,Wednesday,131,44.37,1,0
2023-11-04,CMP1309,LinkedIn,Search,App Installs,Asia,55+,Other,7665,210,2.75,252.0,1.2,32.88,10,5.22,1.45,368,44,15,5.571,2023,11,4,4,Saturday,427,25.2,1,1
2023-04-26,CMP1116,Instagram,Carousel,App Installs,Asia,55+,Male,10498,81,0.772,157.95,1.95,15.05,4,5.83,2.13,159,30,8,1.877,2023,4,26,2,Wednesday,197,39.4875,1,0
2024-06-18,CMP1538,Facebook,Story,Engagement,North America,13-17,Male,4110,44,1.084,14.08,0.32,3.43,2,5.09,0.27,147,25,12,4.477,2024,6,18,2,Tuesday,184,7.04,0,1
2023-01-18,CMP1017,LinkedIn,Video,App Installs,Asia,45-54,Male,11618,226,1.95,131.08,0.58,11.28,8,3.77,0.8,314,62,17,3.383,2023,1,18,1,Wednesday,393,16.385,0,0
2023-12-06,CMP1343,TikTok,Video,App Installs,South America,45-54,Female,5411,72,1.334,82.8,1.15,15.3,5,7.45,0.03,172,18,12,3.733,2023,12,6,4,Wednesday,202,16.56,0,0
2024-04-11,CMP1469,YouTube,Banner,App Installs,Asia,35-44,Female,15102,479,3.174,713.71,1.49,47.26,28,5.85,2.26,745,164,50,6.35,2024,4,11,2,Thursday,959,25.489642857142858,1,1
2024-09-17,CMP1626,TikTok,Carousel,Engagement,South America,55+,Other,8448,105,1.251,63.0,0.6,7.46,5,5.0,1.13,152,23,21,2.32,2024,9,17,3,Tuesday,196,12.6,0,0
2023-07-25,CMP1205,Facebook,Banner,Sales Conversion,Europe,45-54,Female,8396,405,4.835,838.35,2.07,99.85,4,1.15,0.49,317,60,21,4.74,2023,7,25,3,Tuesday,398,209.5875,0,1
2024-11-18,CMP1691,Instagram,Banner,App Installs,Africa,45-54,Male,4527,213,4.727,247.08,1.16,54.58,14,6.86,2.99,114,15,9,3.048,2024,11,18,4,Monday,138,17.64857142857143,1,0
2023-02-18,CMP1049,Instagram,Search,Lead Generation,Africa,25-34,Male,4113,89,2.179,130.83,1.47,31.81,5,5.96,0.87,167,27,15,5.081,2023,2,18,1,Saturday,209,26.166000000000004,0,1
2023-11-30,CMP1336,Instagram,Story,Engagement,Europe,18-24,Other,8617,300,3.487,267.0,0.89,30.99,18,6.29,2.8,321,59,20,4.642,2023,11,30,4,Thursday,400,14.833333333333334,1,1
2023-03-11,CMP1070,Facebook,Story,Engagement,Europe,55+,Other,16419,103,0.628,229.69,2.23,13.99,2,2.88,2.02,371,74,36,2.93,2023,3,11,1,Saturday,481,114.845,1,0
2024-07-08,CMP1554,TikTok,Banner,Brand Awareness,North America,35-44,Other,23120,691,2.989,1713.68,2.48,74.12,36,5.24,1.85,671,100,51,3.555,2024,7,8,3,Monday,822,47.602222222222224,1,0
2024-03-27,CMP1454,Twitter/X,Banner,Lead Generation,Europe,13-17,Other,12011,233,1.943,382.12,1.64,31.81,15,6.74,2.58,512,122,28,5.512,2024,3,27,1,Wednesday,662,25.474666666666668,1,1
2024-03-22,CMP1449,TikTok,Search,Lead Generation,North America,13-17,Male,16045,710,4.43,347.9,0.49,21.68,30,4.32,0.2,511,83,65,4.107,2024,3,22,1,Friday,659,11.596666666666666,0,0
2023-04-04,CMP1095,Twitter/X,Video,Engagement,Africa,35-44,Female,14844,290,1.96,696.0,2.4,46.89,18,6.45,1.01,877,104,65,7.047,2023,4,4,2,Tuesday,1046,38.666666666666664,0,1
2023-09-10,CMP1256,Twitter/X,Banner,Sales Conversion,Asia,35-44,Other,11250,508,4.516,863.6,1.7,76.76,25,5.1,1.45,209,24,23,2.276,2023,9,10,3,Sunday,256,34.544000000000004,1,0
2024-06-09,CMP1528,Google Ads,Image,App Installs,South America,45-54,Other,8074,81,1.014,98.01,1.21,12.14,1,2.32,2.35,367,60,19,5.524,2024,6,9,2,Sunday,446,98.01,1,1
2024-07-03,CMP1553,Instagram,Banner,Sales Conversion,Asia,18-24,Female,10820,289,2.679,144.5,0.5,13.35,9,3.19,0.46,511,91,74,6.248,2024,7,3,3,Wednesday,676,16.055555555555557,0,1
2023-10-02,CMP1277,Twitter/X,Banner,Lead Generation,Oceania,45-54,Other,6834,186,2.722,228.78,1.23,33.48,5,3.16,2.39,215,50,13,4.068,2023,10,2,4,Monday,278,45.756,1,0
2024-02-09,CMP1405,Facebook,Banner,Brand Awareness,Oceania,55+,Female,7910,90,1.142,118.8,1.32,15.02,2,3.08,2.0,221,45,28,3.717,2024,2,9,1,Friday,294,59.4,1,0
2024-07-08,CMP1556,Google Ads,Video,Engagement,Europe,45-54,Other,14754,308,2.092,249.48,0.81,16.91,17,5.65,1.64,389,39,49,3.233,2024,7,8,3,Monday,477,14.675294117647057,1,0
2024-01-06,CMP1370,Instagram,Banner,App Installs,Africa,55+,Other,13901,180,1.298,142.2,0.79,10.23,11,6.18,1.18,306,71,26,2.899,2024,1,6,1,Saturday,403,12.927272727272726,0,0
2023-06-09,CMP1163,TikTok,Banner,Brand Awareness,Africa,55+,Male,1670,84,5.065,138.6,1.65,82.99,2,3.0,2.19,39,6,1,2.754,2023,6,9,2,Friday,46,69.3,1,0
2024-05-05,CMP1494,Google Ads,Image,App Installs,Oceania,55+,Other,12546,223,1.784,512.9,2.3,40.88,3,1.68,1.5,381,92,30,4.009,2024,5,5,2,Sunday,503,170.96666666666667,1,0
2023-10-20,CMP1292,YouTube,Story,Lead Generation,North America,18-24,Male,13356,290,2.175,516.2,1.78,38.65,15,5.51,2.53,720,116,49,6.626,2023,10,20,4,Friday,885,34.413333333333334,1,1
2024-01-31,CMP1395,LinkedIn,Banner,Brand Awareness,Africa,13-17,Female,15492,228,1.478,337.44,1.48,21.78,4,1.98,0.95,641,68,48,4.886,2024,1,31,1,Wednesday,757,84.36,0,1
2024-02-09,CMP1407,Twitter/X,Image,App Installs,Oceania,18-24,Male,2587,85,3.323,18.7,0.22,7.23,4,5.36,0.05,97,18,7,4.716,2024,2,9,1,Friday,122,4.675,0,1
2024-01-26,CMP1391,Google Ads,Story,App Installs,Europe,18-24,Male,18180,425,2.338,518.5,1.22,28.52,4,1.1,1.41,968,214,95,7.024,2024,1,26,1,Friday,1277,129.625,1,1
2024-10-06,CMP1647,Twitter/X,Video,Sales Conversion,Europe,13-17,Other,5910,218,3.693,283.4,1.3,47.95,16,7.69,1.05,191,22,17,3.892,2024,10,6,4,Sunday,230,17.7125,0,0
2023-10-22,CMP1294,Facebook,Story,Engagement,Europe,35-44,Male,13467,153,1.141,324.36,2.12,24.09,8,5.72,1.2,154,15,18,1.389,2023,10,22,4,Sunday,187,40.545,0,0
2024-02-05,CMP1402,Google Ads,Image,Sales Conversion,Oceania,18-24,Male,14697,698,4.756,1326.2,1.9,90.24,16,2.43,1.09,398,43,46,3.314,2024,2,5,1,Monday,487,82.8875,0,0
2024-06-13,CMP1531,YouTube,Banner,Lead Generation,Oceania,35-44,Other,19499,355,1.823,635.45,1.79,32.59,27,7.76,1.2,653,136,97,4.544,2024,6,13,2,Thursday,886,23.53518518518519,0,1
2023-11-08,CMP1313,Instagram,Story,App Installs,Africa,13-17,Other,6527,242,3.711,242.0,1.0,37.08,9,3.96,1.06,320,16,26,5.546,2023,11,8,4,Wednesday,362,26.88888888888889,0,1
2024-05-05,CMP1490,Instagram,Video,Engagement,North America,13-17,Female,3718,33,0.893,27.72,0.84,7.46,2,7.81,1.04,142,12,4,4.25,2024,5,5,2,Sunday,158,13.86,0,0
2023-03-17,CMP1075,YouTube,Carousel,App Installs,South America,25-34,Female,16281,442,2.718,388.96,0.88,23.89,18,4.27,0.82,779,123,105,6.185,2023,3,17,1,Friday,1007,21.608888888888888,0,1
2024-02-11,CMP1409,Twitter/X,Video,Brand Awareness,South America,45-54,Female,11307,99,0.876,184.14,1.86,16.29,4,4.09,2.5,561,58,29,5.731,2024,2,11,1,Sunday,648,46.035,1,1
2024-09-13,CMP1624,Twitter/X,Search,App Installs,Oceania,25-34,Other,8989,324,3.609,450.36,1.39,50.1,19,6.02,2.76,104,21,6,1.457,2024,9,13,3,Friday,131,23.703157894736844,1,0
2023-08-01,CMP1215,YouTube,Image,Sales Conversion,Europe,13-17,Male,7367,338,4.591,584.74,1.73,79.37,26,7.91,-0.25,225,49,18,3.964,2023,8,1,3,Tuesday,292,22.490000000000002,0,0
2024-07-26,CMP1573,Instagram,Search,Engagement,Asia,13-17,Other,20949,483,2.309,1023.96,2.12,48.88,26,5.48,0.68,736,148,98,4.688,2024,7,26,3,Friday,982,39.38307692307693,0,1
2023-07-10,CMP1194,Google Ads,Carousel,Brand Awareness,Asia,25-34,Other,3350,140,4.2,124.6,0.89,37.19,1,0.84,1.79,96,22,3,3.612,2023,7,10,3,Monday,121,124.6,1,0
2023-08-26,CMP1237,Google Ads,Image,Sales Conversion,South America,55+,Female,10235,331,3.239,771.23,2.33,75.35,15,4.76,1.96,411,101,60,5.589,2023,8,26,3,Saturday,572,51.415333333333336,1,1
2023-06-25,CMP1178,Twitter/X,Banner,Sales Conversion,North America,55+,Male,2625,39,1.508,69.81,1.79,26.59,2,5.4,2.03,119,28,8,5.905,2023,6,25,2,Sunday,155,34.905,1,1
2024-06-29,CMP1546,TikTok,Story,Sales Conversion,North America,18-24,Male,20292,648,3.195,343.44,0.53,16.92,39,6.06,1.0,440,96,29,2.784,2024,6,29,2,Saturday,565,8.806153846153846,0,0
2023-11-18,CMP1324,LinkedIn,Story,Lead Generation,South America,35-44,Other,5205,78,1.506,126.36,1.62,24.28,3,4.77,2.22,114,19,6,2.671,2023,11,18,4,Saturday,139,42.12,1,0
2023-11-13,CMP1317,Instagram,Image,Sales Conversion,Asia,13-17,Other,6104,297,4.879,475.2,1.6,77.85,5,1.95,2.6,156,24,21,3.293,2023,11,13,4,Monday,201,95.03999999999999,1,0
2023-02-08,CMP1040,YouTube,Search,App Installs,Europe,13-17,Female,14751,416,2.824,112.32,0.27,7.61,20,5.0,0.83,850,196,98,7.755,2023,2,8,1,Wednesday,1144,5.616,0,1
2023-04-18,CMP1111,Twitter/X,Carousel,Lead Generation,Europe,13-17,Female,13942,541,3.882,135.25,0.25,9.7,22,4.16,1.19,370,89,47,3.629,2023,4,18,2,Tuesday,506,6.1477272727272725,0,0
2023-09-02,CMP1245,LinkedIn,Carousel,Engagement,Oceania,35-44,Other,2341,82,3.532,63.14,0.77,26.97,3,4.72,2.04,91,17,5,4.827,2023,9,2,3,Saturday,113,21.046666666666667,1,1
2024-09-09,CMP1618,Twitter/X,Carousel,Engagement,Asia,35-44,Female,9701,286,2.956,417.56,1.46,43.04,15,5.43,2.61,277,20,11,3.175,2024,9,9,3,Monday,308,27.837333333333333,1,0
2024-02-08,CMP1405,TikTok,Image,Lead Generation,Africa,13-17,Other,23466,1065,4.541,191.7,0.18,8.17,75,7.06,-0.07,854,113,119,4.628,2024,2,8,1,Thursday,1086,2.556,0,1
2023-02-05,CMP1038,YouTube,Banner,Sales Conversion,South America,13-17,Male,21193,123,0.584,59.04,0.48,2.79,8,7.0,2.58,655,90,43,3.718,2023,2,5,1,Sunday,788,7.38,1,0
2023-02-25,CMP1055,Google Ads,Banner,Lead Generation,Oceania,45-54,Male,17434,621,3.566,1024.65,1.65,58.77,41,6.76,2.34,475,48,38,3.218,2023,2,25,1,Saturday,561,24.991463414634147,1,0
2023-04-28,CMP1121,TikTok,Carousel,Sales Conversion,Oceania,18-24,Other,7619,209,2.753,234.08,1.12,30.72,10,5.22,2.28,337,62,16,5.447,2023,4,28,2,Friday,415,23.408,1,1
2023-03-05,CMP1063,TikTok,Story,Engagement,Oceania,45-54,Male,3913,68,1.742,165.92,2.44,42.4,3,5.12,2.79,226,20,15,6.67,2023,3,5,1,Sunday,261,55.306666666666665,1,1
2023-01-03,CMP1005,Facebook,Banner,App Installs,Asia,18-24,Other,14167,510,3.6,1147.5,2.25,81.0,17,3.42,-0.26,782,53,53,6.268,2023,1,3,1,Tuesday,888,67.5,0,1
2023-02-03,CMP1036,Facebook,Carousel,Lead Generation,Oceania,18-24,Male,5812,109,1.879,75.21,0.69,12.94,2,2.67,0.92,251,18,36,5.248,2023,2,3,1,Friday,305,37.605,0,1
2024-07-14,CMP1563,LinkedIn,Story,Engagement,North America,18-24,Male,17723,94,0.533,104.34,1.11,5.89,4,4.36,1.93,766,189,58,5.716,2024,7,14,3,Sunday,1013,26.085,1,1
2024-04-22,CMP1479,Google Ads,Video,Brand Awareness,Europe,35-44,Other,9869,330,3.35,231.0,0.7,27.67,15,4.7,2.74,121,10,8,1.408,2024,4,22,2,Monday,139,15.4,1,0
2024-10-20,CMP1660,TikTok,Story,Lead Generation,North America,55+,Female,9319,82,0.89,145.96,1.78,15.66,5,6.66,1.47,171,20,22,2.286,2024,10,20,4,Sunday,213,29.192,1,0
2024-04-25,CMP1484,TikTok,Banner,Brand Awareness,Europe,55+,Male,11710,204,1.749,238.68,1.17,20.38,14,7.03,1.62,492,35,21,4.68,2024,4,25,2,Thursday,548,17.048571428571428,1,1
2023-01-30,CMP1031,LinkedIn,Banner,Engagement,Asia,18-24,Other,4236,202,4.786,460.56,2.28,108.73,16,7.94,0.39,117,21,10,3.494,2023,1,30,1,Monday,148,28.785,0,0
2024-07-19,CMP1566,YouTube,Carousel,Engagement,Europe,13-17,Male,7711,203,2.642,105.56,0.52,13.69,6,3.37,1.41,86,17,11,1.478,2024,7,19,3,Friday,114,17.593333333333334,1,0
2023-09-18,CMP1260,Instagram,Image,Lead Generation,South America,18-24,Male,25220,699,2.772,314.55,0.45,12.47,24,3.47,2.62,788,59,53,3.569,2023,9,18,3,Monday,900,13.106250000000001,1,0
2023-01-01,CMP1004,Twitter/X,Video,App Installs,Asia,25-34,Male,10696,381,3.569,601.98,1.58,56.28,9,2.57,1.34,195,10,15,2.057,2023,1,1,1,Sunday,220,66.88666666666667,0,0
2024-06-17,CMP1534,YouTube,Carousel,App Installs,Europe,45-54,Other,11020,218,1.98,296.48,1.36,26.9,13,6.18,0.41,465,52,33,4.991,2024,6,17,2,Monday,550,22.806153846153848,0,1
2024-06-25,CMP1544,TikTok,Carousel,Brand Awareness,Europe,18-24,Female,8994,380,4.232,513.0,1.35,57.04,13,3.58,1.26,233,43,31,3.413,2024,6,25,2,Tuesday,307,39.46153846153846,0,0
2023-11-20,CMP1326,YouTube,Carousel,Brand Awareness,Europe,25-34,Female,7417,48,0.657,41.76,0.87,5.63,2,5.74,1.86,98,11,9,1.591,2023,11,20,4,Monday,118,20.88,1,0
2023-10-01,CMP1273,Facebook,Video,Brand Awareness,South America,18-24,Female,14860,519,3.495,332.16,0.64,22.35,39,7.66,-0.27,668,72,58,5.37,2023,10,1,4,Sunday,798,8.516923076923078,0,1
2023-08-22,CMP1237,Facebook,Story,Engagement,South America,45-54,Male,2714,51,1.884,112.2,2.2,41.34,0,1.35,1.56,137,22,9,6.19,2023,8,22,3,Tuesday,168,0.0,1,1
2023-03-03,CMP1065,Twitter/X,Carousel,Brand Awareness,Africa,45-54,Other,16364,793,4.849,1435.33,1.81,87.71,21,2.68,0.25,917,123,58,6.71,2023,3,3,1,Friday,1098,68.34904761904761,0,1
2024-11-09,CMP1679,YouTube,Search,App Installs,South America,55+,Other,12343,148,1.204,196.84,1.33,15.95,2,1.9,0.46,522,37,18,4.675,2024,11,9,4,Saturday,577,98.42,0,1
2024-08-22,CMP1599,TikTok,Banner,App Installs,Asia,18-24,Male,27966,430,1.539,855.7,1.99,30.6,7,1.66,1.27,1381,213,203,6.426,2024,8,22,3,Thursday,1797,122.24285714285715,0,1
2023-12-21,CMP1358,Google Ads,Carousel,Brand Awareness,South America,13-17,Female,3269,124,3.795,302.56,2.44,92.55,4,3.84,2.72,92,5,11,3.304,2023,12,21,4,Thursday,108,75.64,1,0
2023-05-12,CMP1133,Facebook,Video,App Installs,Asia,18-24,Male,12824,230,1.795,308.2,1.34,24.03,6,2.92,0.38,624,131,34,6.153,2023,5,12,2,Friday,789,51.36666666666667,0,1
2023-05-25,CMP1144,YouTube,Story,Lead Generation,North America,13-17,Male,18318,175,0.957,246.75,1.41,13.47,3,2.26,1.34,407,73,39,2.833,2023,5,25,2,Thursday,519,82.25,0,0
2023-05-03,CMP1123,Facebook,Carousel,Brand Awareness,Oceania,55+,Other,7349,242,3.302,358.16,1.48,48.74,3,1.29,1.14,105,11,14,1.769,2023,5,3,2,Wednesday,130,119.38666666666667,0,0
2024-08-07,CMP1587,TikTok,Image,Brand Awareness,Oceania,13-17,Other,3979,55,1.403,129.8,2.36,32.62,3,6.25,2.95,64,15,4,2.086,2024,8,7,3,Wednesday,83,43.26666666666667,1,0
2024-08-09,CMP1586,TikTok,Story,Lead Generation,South America,25-34,Female,6215,81,1.317,197.64,2.44,31.8,0,0.8,1.07,215,41,27,4.553,2024,8,9,3,Friday,283,0.0,0,1
2024-12-28,CMP1727,Twitter/X,Story,App Installs,Oceania,35-44,Female,3793,50,1.336,78.0,1.56,20.56,2,5.38,1.38,87,5,12,2.742,2024,12,28,4,Saturday,104,39.0,1,0
2023-04-03,CMP1094,Twitter/X,Image,App Installs,Asia,25-34,Other,10497,521,4.969,135.46,0.26,12.9,19,3.67,2.54,175,38,17,2.191,2023,4,3,2,Monday,230,7.129473684210526,1,0
2023-02-02,CMP1036,Twitter/X,Story,Brand Awareness,Europe,18-24,Other,7442,348,4.678,807.36,2.32,108.49,21,6.22,1.65,145,26,15,2.499,2023,2,2,1,Thursday,186,38.44571428571429,1,0
2023-06-30,CMP1184,Google Ads,Video,Sales Conversion,South America,13-17,Male,14977,574,3.837,103.32,0.18,6.9,17,2.98,-0.2,769,114,82,6.443,2023,6,30,2,Friday,965,6.077647058823529,0,1
2024-01-23,CMP1387,Twitter/X,Banner,Lead Generation,Oceania,35-44,Male,14223,125,0.882,220.0,1.76,15.47,2,1.92,0.07,756,55,105,6.44,2024,1,23,1,Tuesday,916,110.0,0,1
2023-07-15,CMP1196,Instagram,Carousel,Brand Awareness,North America,25-34,Female,23279,1023,4.397,1350.36,1.32,58.01,68,6.66,1.06,1195,240,133,6.736,2023,7,15,3,Saturday,1568,19.858235294117645,0,1
2023-03-27,CMP1087,TikTok,Story,App Installs,Africa,18-24,Other,12099,259,2.146,582.75,2.25,48.17,20,7.99,0.3,193,15,21,1.893,2023,3,27,1,Monday,229,29.1375,0,0
2023-03-01,CMP1061,Google Ads,Carousel,App Installs,Europe,25-34,Female,6328,127,2.018,128.27,1.01,20.27,5,4.66,0.03,317,39,34,6.163,2023,3,1,1,Wednesday,390,25.654000000000003,0,1
2024-02-11,CMP1408,Twitter/X,Carousel,Lead Generation,South America,13-17,Other,9631,405,4.206,627.75,1.55,65.18,28,6.96,2.45,549,106,30,7.112,2024,2,11,1,Sunday,685,22.419642857142858,1,1
2023-08-20,CMP1233,Instagram,Image,Lead Generation,Europe,45-54,Other,9941,158,1.598,350.76,2.22,35.28,7,4.95,1.47,164,24,12,2.012,2023,8,20,3,Sunday,200,50.10857142857143,1,0
2023-04-26,CMP1118,Instagram,Carousel,Engagement,Oceania,18-24,Other,12194,78,0.64,169.26,2.17,13.88,3,4.19,1.52,245,51,17,2.567,2023,4,26,2,Wednesday,313,56.419999999999995,1,0
2024-04-10,CMP1465,Twitter/X,Banner,App Installs,North America,35-44,Male,12250,526,4.298,888.94,1.69,72.57,16,3.05,0.19,584,107,72,6.229,2024,4,10,2,Wednesday,763,55.55875,0,1
2024-07-17,CMP1565,Instagram,Story,Sales Conversion,Europe,25-34,Other,20154,377,1.873,365.69,0.97,18.14,10,2.71,1.98,627,100,76,3.984,2024,7,17,3,Wednesday,803,36.569,1,0
2024-04-19,CMP1474,Twitter/X,Image,Sales Conversion,Oceania,25-34,Other,7688,98,1.287,42.14,0.43,5.48,2,2.72,1.03,339,83,46,6.087,2024,4,19,2,Friday,468,21.07,0,1
2023-04-03,CMP1092,Instagram,Image,Brand Awareness,Oceania,18-24,Female,11839,175,1.485,231.0,1.32,19.51,7,4.5,1.88,143,27,5,1.478,2023,4,3,2,Monday,175,33.0,1,0
2024-02-08,CMP1403,LinkedIn,Image,App Installs,Asia,55+,Other,14484,491,3.392,672.67,1.37,46.44,24,5.06,2.72,517,45,31,4.094,2024,2,8,1,Thursday,593,28.027916666666666,1,0
2023-09-29,CMP1275,LinkedIn,Image,Lead Generation,Africa,45-54,Male,18203,702,3.859,1045.98,1.49,57.46,40,5.71,0.18,1030,110,112,6.878,2023,9,29,3,Friday,1252,26.1495,0,1
2024-02-05,CMP1400,LinkedIn,Video,Lead Generation,Oceania,55+,Female,10760,115,1.075,185.15,1.61,17.21,3,2.87,2.98,459,87,44,5.483,2024,2,5,1,Monday,590,61.71666666666667,1,1
2024-10-23,CMP1665,YouTube,Video,Engagement,Africa,35-44,Male,15598,596,3.826,1203.92,2.02,77.18,27,4.67,2.27,841,92,50,6.302,2024,10,23,4,Wednesday,983,44.589629629629634,1,1
2023-10-22,CMP1295,Instagram,Video,Lead Generation,North America,13-17,Male,7546,196,2.604,174.44,0.89,23.12,8,4.43,2.28,344,85,30,6.083,2023,10,22,4,Sunday,459,21.805,1,1
2024-08-17,CMP1596,Google Ads,Video,Brand Awareness,North America,18-24,Other,16293,470,2.889,507.6,1.08,31.15,26,5.58,2.64,534,85,59,4.161,2024,8,17,3,Saturday,678,19.523076923076925,1,0
2023-03-06,CMP1064,Google Ads,Banner,App Installs,North America,18-24,Other,19788,649,3.281,1252.57,1.93,63.3,14,2.2,0.43,357,44,46,2.259,2023,3,6,1,Monday,447,89.4692857142857,0,0
2023-10-24,CMP1300,TikTok,Search,Lead Generation,Africa,25-34,Female,8853,355,4.019,99.4,0.28,11.23,18,5.31,2.5,144,24,11,2.022,2023,10,24,4,Tuesday,179,5.522222222222222,1,0
